id,name,display_name,set_name,number,edition,year,remarks,rarity,artwork,image_url,pricecharting_url,market_price,pokemontcg_id,tcgplayer_product_id,tcgplayer_url
pk-0011,Pikachu,Pikachu — Evolutions 35/108,Evolutions,35/108,,2016,,Reverse Holo Common,Base Set,https://storage.googleapis.com/images.pricecharting.com/b01c8ad5a482634458a1fd223dd416f37549d32bf7627b69d4fd2d1f8b1a8081/1600.jpg,https://www.pricecharting.com/game/pokemon-evolutions/pikachu-reverse-holo-35,4.66,xy12-35,124048,https://www.tcgplayer.com/product/124048
pk-0012,Pikachu,Pikachu — Evolutions 35/108,Evolutions,35/108,,2016,,Shattered Holofoil Common,Base Set,https://storage.googleapis.com/images.pricecharting.com/fgvzp6kmz3yi5qut/1600.jpg,https://www.pricecharting.com/game/pokemon-evolutions/pikachu-35,1.95,xy12-35,124048,https://www.tcgplayer.com/product/124048
pk-0013,Pikachu,Pikachu — Pokémon TCG Classics: Charizard & Ho-Oh ex Deck 008/034,Pokémon TCG Classics: Charizard & Ho-Oh ex Deck,008/034,,2023,,Holofoil Special Set,Base Set,https://storage.googleapis.com/images.pricecharting.com/uw7aa6fpj5mq2zvq/1600.jpg,https://www.pricecharting.com/game/pokemon-tcg-classic-charizard-deck/pikachu-8,34.62,,,
pk-0014,Pikachu,Pikachu — Rising Rivals 112/111,Rising Rivals,112/111,,2009,,Secret Rare,Rising Rivals - Base Set Reprint,https://images.pokemontcg.io/pl2/112_hires.png,https://www.pricecharting.com/game/pokemon-rising-rivals/pikachu-112,243.38,pl2-112,88091,https://www.tcgplayer.com/product/88091
pk-0015,Pikachu,Pikachu — Celebrations 5/25,Celebrations,5/25,,2021,,Holofoil Full Art Special Set,Celebrations - Extended Base Set,https://images.pokemontcg.io/cel25/5_hires.png,https://www.pricecharting.com/game/pokemon-celebrations/pikachu-v-swsh145,113.56,cel25-5,250303,https://www.tcgplayer.com/product/250303
pk-0016,Pikachu,Pikachu — Jungle 60/64,Jungle,60/64,1st Edition,1999,,Common,Jungle,https://storage.googleapis.com/images.pricecharting.com/73f88cb35f1046ca9a5ae7f42f0d51ea78803045a4018af52c8c068a865bc028/1600.jpg,https://www.pricecharting.com/game/pokemon-jungle/pikachu-1st-edition-60,20.50,base2-60,45163,https://www.tcgplayer.com/product/45163
pk-0017,Pikachu,Pikachu — Jungle 60/64,Jungle,60/64,Unlimited,1999,,Common,Jungle,https://storage.googleapis.com/images.pricecharting.com/9e7a066358c2b41dd12f750dd098c42c0e077f48354cb2c38717fbd3ae3147b2/1600.jpg,https://www.pricecharting.com/game/pokemon-jungle/pikachu-60,3.75,base2-60,45163,https://www.tcgplayer.com/product/45163
pk-0018,Pikachu,Pikachu — Jungle 60/64,Jungle,60/64,1st Edition,1999,W-stamped,Common,Jungle,https://storage.googleapis.com/images.pricecharting.com/4cb96bbe4c3236bc82c325ede97e057cb70c2bd2b0ee5fa3129f67e221aa2fb5/1600.jpg,https://www.pricecharting.com/game/pokemon-jungle/pikachu-w-stamp-60,97.84,base2-60,45163,https://www.tcgplayer.com/product/45163
pk-0019,Pikachu,Pikachu — Legendary Collection 86/110,Legendary Collection,86/110,Unlimited,2002,,Common,Jungle,https://storage.googleapis.com/images.pricecharting.com/524423019b34924b5a6f60120d272c0306f52389a7f6c996f10a9556a6d5e804/1600.jpg,https://www.pricecharting.com/game/pokemon-legendary-collection/pikachu-86,3.86,base6-86,88075,https://www.tcgplayer.com/product/88075
pk-0020,Pikachu,Pikachu — Legendary Collection 86/110,Legendary Collection,86/110,Unlimited,2002,,Reverse Foil Common,Jungle,https://storage.googleapis.com/images.pricecharting.com/d3ad1ffd42faae516fde43b4444a9bb56d59a1ee44dc18614130e71bfb0f5625/1600.jpg,https://www.pricecharting.com/game/pokemon-legendary-collection/pikachu-reverse-holo-86,897.50,base6-86,88075,https://www.tcgplayer.com/product/88075
pk-0021,Pikachu,Pikachu — Wizards Black Star Promos 4,Wizards Black Star Promos,4,,1999,Kids WB First Movie stamp,Promo,Promo 4,https://images.pokemontcg.io/basep/4_hires.png,https://www.pricecharting.com/game/pokemon-promo/pikachu-4,22.50,basep-4,88066,https://www.tcgplayer.com/product/88066
pk-0022,Pikachu,Pikachu — XY Black Star Promos XY202,XY Black Star Promos,XY202,,2016,Pokémon League stamp,Holofoil Promo,Promo 4,https://images.pokemontcg.io/xyp/XY202_hires.png,https://www.pricecharting.com/game/pokemon-promo/pikachu-xy202,59.72,xyp-XY202,,
pk-0023,Lt. Surge's Pikachu,Lt. Surge's Pikachu — Gym Heroes 81/132,Gym Heroes,81/132,1st Edition,2000,,Common,Gym Heroes,https://storage.googleapis.com/images.pricecharting.com/d2cb4cc986dc4692eddcef167534ea274c6c055c1611f4f292856fb469f8e619/1600.jpg,https://www.pricecharting.com/game/pokemon-gym-heroes/lt-surge%27s-pikachu-1st-edition-81,22.09,gym1-81,86859,https://www.tcgplayer.com/product/86859
pk-0024,Lt. Surge's Pikachu,Lt. Surge's Pikachu — Gym Heroes 81/132,Gym Heroes,81/132,Unlimited,2000,,Common,Gym Heroes,https://storage.googleapis.com/images.pricecharting.com/99422e1316a154babcaf602437aaf1c210ebba2be671a87ed7205a0856f67193/1600.jpg,https://www.pricecharting.com/game/pokemon-gym-heroes/lt-surge%27s-pikachu-81,5.67,gym1-81,86859,https://www.tcgplayer.com/product/86859
pk-0025,Lt. Surge's Pikachu,Lt. Surge's Pikachu — Gym Challenge 84/132,Gym Challenge,84/132,1st Edition,2000,,Common,Gym Challenge,https://storage.googleapis.com/images.pricecharting.com/7d6437284541d4a257110f7c41b9be58aca13523cc83505622d799f093baec3a/1600.jpg,https://www.pricecharting.com/game/pokemon-gym-challenge/lt-surge%27s-pikachu-1st-edition-84,28.09,gym2-84,86860,https://www.tcgplayer.com/product/86860
pk-0026,Lt. Surge's Pikachu,Lt. Surge's Pikachu — Gym Challenge 84/132,Gym Challenge,84/132,Unlimited,2000,,Common,Gym Challenge,https://storage.googleapis.com/images.pricecharting.com/030b6348a10f4fa8e46ca9c592bc81ed0b0b0b4f23226109b664327ce834330c/1600.jpg,https://www.pricecharting.com/game/pokemon-gym-challenge/lt-surge%27s-pikachu-84,6.35,gym2-84,86860,https://www.tcgplayer.com/product/86860
